,Name,Position,Team,Salary,Year
94,Tyreke Evans, SG,Indiana Pacers,"$12,400,000",2019
95,Courtney Lee, SG,New York Knicks,"$12,253,780",2019
96,Solomon Hill, SF,New Orleans Pelicans,"$12,252,928",2019
97,JJ Redick, SG,Philadelphia 76ers,"$12,250,000",2019
98,Kemba Walker, PG,Charlotte Hornets,"$12,000,000",2019
99,Avery Bradley, SG,Memphis Grizzlies,"$12,000,000",2019
100,Kentavious Caldwell-Pope, SG,Los Angeles Lakers,"$12,000,000",2019
101,Will Barton, SG,Denver Nuggets,"$11,830,358",2019
102,T.J. Warren, SF,Phoenix Suns,"$11,750,000",2019
103,Zach Randolph, F,Dallas Mavericks,"$11,692,308",2019
104,Marcus Smart, PG,Boston Celtics,"$11,660,716",2019
105,Patty Mills, PG,San Antonio Spurs,"$11,571,429",2019
106,Dion Waiters, SG,Miami Heat,"$11,550,000",2019
107,Alec Burks, SG,Utah Jazz,"$11,536,515",2019
108,John Henson, F,Milwaukee Bucks,"$11,327,466",2019
109,Omer Asik, C,Chicago Bulls,"$11,286,516",2019
110,Jusuf Nurkic, C,Portland Trail Blazers,"$11,111,111",2019
111,Iman Shumpert, SG,Sacramento Kings,"$11,011,234",2019
112,Maurice Harkless, SF,Portland Trail Blazers,"$10,837,079",2019
113,Tony Snell, SG,Milwaukee Bucks,"$10,607,143",2019
114,Meyers Leonard, PF,Portland Trail Blazers,"$10,595,506",2019
115,Terrence Ross, SG,Orlando Magic,"$10,500,000",2019
116,Bojan Bogdanovic, SF,Indiana Pacers,"$10,500,000",2019
117,Robert Covington, SF,Philadelphia 76ers,"$10,464,092",2019
118,Rudy Gay, SF,San Antonio Spurs,"$10,087,200",2019
119,Jon Leuer, PF,Detroit Pistons,"$10,002,681",2019
120,Andre Roberson, SG,Oklahoma City Thunder,"$10,000,000",2019
121,Danny Green, SG,Toronto Raptors,"$10,000,000",2019
122,Darren Collison, PG,Indiana Pacers,"$10,000,000",2019
123,Dwight Powell, PF,Dallas Mavericks,"$9,631,250",2019
124,Matthew Dellavedova, PG,Milwaukee Bucks,"$9,607,500",2019
125,Dante Exum, PG,Utah Jazz,"$9,600,000",2019
126,Jared Dudley, SF,Brooklyn Nets,"$9,530,000",2019
127,Norman Powell, SF,Toronto Raptors,"$9,367,200",2019
128,Josh Richardson, SG,Miami Heat,"$9,367,200",2019
129,Bogdan Bogdanovic, SG,Sacramento Kings,"$9,000,000",2019
130,Rajon Rondo, PG,Los Angeles Lakers,"$9,000,000",2019
131,E'Twaun Moore, G,New Orleans Pelicans,"$8,808,685",2019
132,Cristiano Felicio, PF,Chicago Bulls,"$8,740,980",2019
133,Kosta Koufos, C,Sacramento Kings,"$8,739,500",2019
134,Fred VanVleet, PG,Toronto Raptors,"$8,653,847",2019
135,Jerami Grant, SF,Oklahoma City Thunder,"$8,653,847",2019
136,Kyle Anderson, SF,Memphis Grizzlies,"$8,641,000",2019
137,Julius Randle, C,New Orleans Pelicans,"$8,641,000",2019
138,Markieff Morris, PF,Washington Wizards,"$8,600,000",2019
139,Jerryd Bayless, PG,Minnesota Timberwolves,"$8,575,916",2019
140,Markelle Fultz, PG,Philadelphia 76ers,"$8,339,880",2019
141,CJ Miles, SF,Memphis Grizzlies,"$8,333,333",2019
142,Joe Harris, SF,Brooklyn Nets,"$8,333,333",2019
143,Shaun Livingston, PG,Golden State Warriors,"$8,307,692",2019
144,Deandre Ayton, C,Phoenix Suns,"$8,165,160",2019
145,Lou Williams, SG,LA Clippers,"$8,000,000",2019
146,Garrett Temple, SG,Memphis Grizzlies,"$8,000,000",2019
147,PJ Tucker, SF,Houston Rockets,"$7,969,537",2019
148,Cory Joseph, PG,Indiana Pacers,"$7,945,000",2019
149,Karl-Anthony Towns, C,Minnesota Timberwolves,"$7,839,435",2019
150,JaMychal Green, PF,Memphis Grizzlies,"$7,666,667",2019
151,Kyle Korver, SG,Utah Jazz,"$7,560,000",2019
152,Jeremy Lamb, SG,Charlotte Hornets,"$7,488,372",2019
153,Darrell Arthur, F,Phoenix Suns,"$7,464,912",2019
154,Lonzo Ball, PG,Los Angeles Lakers,"$7,461,960",2019
155,Doug McDermott, SF,Indiana Pacers,"$7,333,333",2019
156,Jae Crowder, PF,Utah Jazz,"$7,305,825",2019
157,Marvin Bagley III, PF,Sacramento Kings,"$7,305,600",2019
158,D.J. Augustin, PG,Orlando Magic,"$7,250,000",2019
159,Dewayne Dedmon, C,Atlanta Hawks,"$7,200,000",2019
160,Lance Thomas, SF,New York Knicks,"$7,119,650",2019
161,D'Angelo Russell, PG,Brooklyn Nets,"$7,019,698",2019
162,Boban Marjanovic, C,Philadelphia 76ers,"$7,000,000",2019
163,Davis Bertans, SF,San Antonio Spurs,"$7,000,000",2019
164,Langston Galloway, SG,Detroit Pistons,"$7,000,000",2019
165,Al-Farouq Aminu, PF,Portland Trail Blazers,"$6,957,105",2019
166,Jayson Tatum, SF,Boston Celtics,"$6,700,800",2019
167,Luka Doncic, SF,Dallas Mavericks,"$6,560,640",2019
168,Nemanja Bjelica, PF,Sacramento Kings,"$6,500,000",2019
169,Mario Hezonja, SF,New York Knicks,"$6,500,000",2019
170,Ben Simmons, PG,Philadelphia 76ers,"$6,434,520",2019
171,Milos Teodosic, G,LA Clippers,"$6,300,000",2019
172,Marco Belinelli, SG,San Antonio Spurs,"$6,153,846",2019
173,Wesley Johnson, SF,Washington Wizards,"$6,134,520",2019
174,Josh Jackson, SF,Phoenix Suns,"$6,041,520",2019
175,Jonathon Simmons, SF,Philadelphia 76ers,"$6,000,000",2019
176,Montrezl Harrell, PF,LA Clippers,"$6,000,000",2019
177,Ish Smith, PG,Detroit Pistons,"$6,000,000",2019
178,Jaren Jackson Jr., PF,Memphis Grizzlies,"$5,915,040",2019
179,Brandon Ingram, SF,Los Angeles Lakers,"$5,757,120",2019
180,Kristaps Porzingis, PF,Dallas Mavericks,"$5,697,054",2019
181,De'Aaron Fox, PG,Sacramento Kings,"$5,470,920",2019
182,Ben McLemore, G,Sacramento Kings,"$5,460,000",2019
183,Alex Abrines, G,Oklahoma City Thunder,"$5,455,236",2019
184,Patrick Patterson, PF,Oklahoma City Thunder,"$5,451,600",2019
185,Jason Smith, PF,Washington Wizards,"$5,450,000",2019
186,Marcus Morris, PF,Boston Celtics,"$5,375,000",2019
187,Trae Young, PG,Atlanta Hawks,"$5,356,440",2019
188,Dwight Howard, C,Washington Wizards,"$5,337,000",2019
189,DeMarcus Cousins, C,Golden State Warriors,"$5,337,000",2019
190,Alexis Ajinca, C,LA Clippers,"$5,285,394",2019
191,Thabo Sefolosha, SF,Utah Jazz,"$5,250,000",2019
192,Aron Baynes, C,Boston Celtics,"$5,193,600",2019
193,Jaylen Brown, SG,Boston Celtics,"$5,169,960",2019
194,Patrick Beverley, PG,LA Clippers,"$5,027,028",2019
195,Tony Parker, PG,Charlotte Hornets,"$5,000,000",2019
196,Mike Muscala, PF,Philadelphia 76ers,"$5,000,000",2019
197,Alan Williams, PF,Brooklyn Nets,"$5,000,000",2019
198,Dirk Nowitzki, PF,Dallas Mavericks,"$5,000,000",2019
199,Kyle Singler, F,Oklahoma City Thunder,"$4,996,000",2019
200,Jonathan Isaac, PF,Orlando Magic,"$4,969,080",2019
201,Mo Bamba, C,Orlando Magic,"$4,865,040",2019
202,Anthony Tolliver, PF,Minnesota Timberwolves,"$4,750,000",2019
203,Willie Cauley-Stein, C,Sacramento Kings,"$4,696,875",2019
204,Dragan Bender, PF,Phoenix Suns,"$4,661,280",2019
205,Lauri Markkanen, PF,Chicago Bulls,"$4,536,120",2019
206,Lance Stephenson, SG,Los Angeles Lakers,"$4,449,000",2019
207,Ed Davis, PF,Brooklyn Nets,"$4,449,000",2019
208,Kyle O'Quinn, C,Indiana Pacers,"$4,449,000",2019
209,Wendell Carter Jr., C,Chicago Bulls,"$4,441,200",2019
210,Justin Holiday, SF,Memphis Grizzlies,"$4,384,616",2019
211,Alex Len, C,Atlanta Hawks,"$4,350,000",2019
212,Mike Scott, PF,Philadelphia 76ers,"$4,320,500",2019
213,Luc Mbah a Moute, PF,LA Clippers,"$4,320,500",2019
214,Emmanuel Mudiay, PG,New York Knicks,"$4,294,480",2019
215,Kris Dunn, PG,Chicago Bulls,"$4,221,000",2019
216,Frank Ntilikina, PG,New York Knicks,"$4,155,720",2019
217,Glenn Robinson III, SG,Detroit Pistons,"$4,075,000",2019
218,Collin Sexton, PG,Cleveland Cavaliers,"$4,068,600",2019
219,Stanley Johnson, SF,Detroit Pistons,"$3,940,402",2019
220,Buddy Hield, SG,Sacramento Kings,"$3,844,760",2019
221,Dennis Smith Jr., PG,New York Knicks,"$3,819,960",2019
222,Kevin Knox, SF,New York Knicks,"$3,739,920",2019
223,J.J. Barea, PG,Dallas Mavericks,"$3,710,850",2019
224,Nene Hilario, C,Houston Rockets,"$3,651,480",2019
225,Zach Collins, PF,Portland Trail Blazers,"$3,628,920",2019
226,Frank Kaminsky, PF,Charlotte Hornets,"$3,627,842",2019
227,Mikal Bridges, SF,Phoenix Suns,"$3,552,960",2019
228,Michael Beasley, F,Los Angeles Lakers,"$3,500,000",2019
229,Jamal Murray, PG,Denver Nuggets,"$3,499,800",2019
230,Rodney Hood, SG,Portland Trail Blazers,"$3,472,887",2019
231,Jodie Meeks, SG,Toronto Raptors,"$3,454,500",2019
232,Justise Winslow, SF,Miami Heat,"$3,448,926",2019
233,Malik Monk, SG,Charlotte Hornets,"$3,447,480",2019
234,Myles Turner, C,Indiana Pacers,"$3,410,284",2019
235,Allonzo Trier, SG,New York Knicks,"$3,382,000",2019
236,Brook Lopez, C,Milwaukee Bucks,"$3,382,000",2019
237,Shai Gilgeous-Alexander, PG,LA Clippers,"$3,375,360",2019
238,Trey Lyles, PF,Denver Nuggets,"$3,364,249",2019
239,Ekpe Udoh, C,Utah Jazz,"$3,360,000",2019
240,Devin Booker, SG,Phoenix Suns,"$3,314,365",2019
241,Luke Kennard, SG,Detroit Pistons,"$3,275,280",2019
242,Cameron Payne, G,Cleveland Cavaliers,"$3,263,294",2019
243,Troy Daniels, SG,Phoenix Suns,"$3,258,539",2019
244,Kelly Oubre Jr., SF,Washington Wizards,"$3,208,630",2019
245,Miles Bridges, SF,Charlotte Hornets,"$3,206,640",2019
246,Marquese Chriss, PF,Houston Rockets,"$3,206,160",2019
247,Tomas Satoransky, SG,Washington Wizards,"$3,129,187",2019
248,Bryn Forbes, SG,San Antonio Spurs,"$3,125,000",2019
249,Donovan Mitchell, SG,Utah Jazz,"$3,111,480",2019
250,Terry Rozier, PG,Boston Celtics,"$3,050,390",2019
251,Jerome Robinson, SG,LA Clippers,"$3,046,200",2019
252,Yogi Ferrell, PG,Sacramento Kings,"$3,000,000",2019
253,Elfrid Payton, PG,New Orleans Pelicans,"$3,000,000",2019
254,Bam Adebayo, C,Miami Heat,"$2,955,840",2019
255,Jakob Poeltl, C,San Antonio Spurs,"$2,947,320",2019
256,Michael Porter Jr., PF,Denver Nuggets,"$2,894,160",2019
257,Justin Jackson, SF,Sacramento Kings,"$2,807,880",2019
258,Thon Maker, PF,Milwaukee Bucks,"$2,799,720",2019
259,Seth Curry, SG,Portland Trail Blazers,"$2,795,000",2019
260,Cedi Osman, SF,Cleveland Cavaliers,"$2,775,000",2019
261,Sam Dekker, SF,Washington Wizards,"$2,760,095",2019
262,Troy Brown Jr., SF,Washington Wizards,"$2,749,080",2019
263,Justin Patton, C,Philadelphia 76ers,"$2,667,600",2019
264,Guerschon Yabusele, PF,Boston Celtics,"$2,667,600",2019
265,Domantas Sabonis, PF,Indiana Pacers,"$2,659,800",2019
266,Jerian Grant, PG,Orlando Magic,"$2,639,314",2019
267,Delon Wright, PG,Memphis Grizzlies,"$2,536,898",2019
268,D.J. Wilson, PF,Milwaukee Bucks,"$2,534,280",2019
269,Zhaire Smith, SG,Philadelphia 76ers,"$2,526,840",2019
