,Name,Position,Team,Salary,Year
1423,Ersan Ilyasova, PF,Orlando Magic,"$7,900,000",2016
1424,Avery Bradley, SG,Boston Celtics,"$7,730,337",2016
1425,Kosta Koufos, C,Sacramento Kings,"$7,700,000",2016
1426,Boris Diaw, C,San Antonio Spurs,"$7,500,000",2016
1427,Pau Gasol, C,Chicago Bulls,"$7,448,760",2016
1428,Jose Calderon, PG,New York Knicks,"$7,402,812",2016
1429,JJ Redick, SG,LA Clippers,"$7,085,000",2016
1430,Anthony Davis, PF,New Orleans Pelicans,"$7,070,730",2016
1431,Cory Joseph, PG,Toronto Raptors,"$7,000,000",2016
1432,Marvin Williams, PF,Charlotte Hornets,"$7,000,000",2016
1433,Lou Williams, SG,Los Angeles Lakers,"$7,000,000",2016
1434,Rodney Stuckey, PG,Indiana Pacers,"$7,000,000",2016
1435,Ed Davis, PF,Portland Trail Blazers,"$6,980,802",2016
1436,Isaiah Thomas, PG,Boston Celtics,"$6,912,869",2016
1437,Jae Crowder, PF,Boston Celtics,"$6,796,117",2016
1438,Greivis Vasquez, PG,Milwaukee Bucks,"$6,600,000",2016
1439,Carl Landry, PF,Philadelphia 76ers,"$6,500,000",2016
1440,Aron Baynes, C,Detroit Pistons,"$6,500,000",2016
1441,Patrick Beverley, PG,Houston Rockets,"$6,486,486",2016
1442,Michael Kidd-Gilchrist, SF,Charlotte Hornets,"$6,331,404",2016
1443,Jarrett Jack, G,Brooklyn Nets,"$6,300,000",2016
1444,Jodie Meeks, SG,Detroit Pistons,"$6,270,000",2016
1445,Patrick Patterson, PF,Toronto Raptors,"$6,268,675",2016
1446,Spencer Hawes, PF,Charlotte Hornets,"$6,110,034",2016
1447,Marco Belinelli, SG,Sacramento Kings,"$6,060,606",2016
1448,Gerald Henderson, SG,Portland Trail Blazers,"$6,000,000",2016
1449,Andrew Wiggins, SF,Minnesota Timberwolves,"$5,758,680",2016
1450,Kyle Korver, SG,Atlanta Hawks,"$5,746,479",2016
1451,Karl-Anthony Towns, C,Minnesota Timberwolves,"$5,703,600",2016
1452,Bradley Beal, SG,Washington Wizards,"$5,694,674",2016
1453,Jamal Crawford, SG,LA Clippers,"$5,675,000",2016
1454,Courtney Lee, SG,Charlotte Hornets,"$5,675,000",2016
1455,Martell Webster, SF,New Orleans Pelicans,"$5,613,500",2016
1456,Nikola Mirotic, PF,Chicago Bulls,"$5,543,725",2016
1457,Shaun Livingston, PG,Golden State Warriors,"$5,543,725",2016
1458,Josh McRoberts, PF,Miami Heat,"$5,543,725",2016
1459,Mirza Teletovic, PF,Phoenix Suns,"$5,500,000",2016
1460,PJ Tucker, SF,Phoenix Suns,"$5,500,000",2016
1461,Brandan Wright, F,Memphis Grizzlies,"$5,464,000",2016
1462,Deron Williams, PG,Dallas Mavericks,"$5,378,974",2016
1463,Tim Duncan, C,San Antonio Spurs,"$5,250,000",2016
1464,Nick Young, G,Los Angeles Lakers,"$5,219,169",2016
1465,Zaza Pachulia, C,Dallas Mavericks,"$5,200,000",2016
1466,Victor Oladipo, SG,Orlando Magic,"$5,192,520",2016
1467,Tony Allen, SG,Memphis Grizzlies,"$5,158,539",2016
1468,Jabari Parker, PF,Milwaukee Bucks,"$5,152,440",2016
1469,Dion Waiters, SG,Oklahoma City Thunder,"$5,138,430",2016
1470,D'Angelo Russell, PG,Los Angeles Lakers,"$5,103,120",2016
1471,Chris Kaman, C,Portland Trail Blazers,"$5,016,000",2016
1472,Darren Collison, PG,Sacramento Kings,"$5,013,559",2016
1473,Jonas Jerebko, PF,Boston Celtics,"$5,000,000",2016
1474,C.J. Watson, PG,Orlando Magic,"$5,000,000",2016
1475,JR Smith, SG,Cleveland Cavaliers,"$5,000,000",2016
1476,Marcus Morris, PF,Detroit Pistons,"$5,000,000",2016
1477,Timofey Mozgov, C,Cleveland Cavaliers,"$4,950,000",2016
1478,Trevor Booker, F,Utah Jazz,"$4,775,000",2016
1479,Otto Porter Jr., SF,Washington Wizards,"$4,662,960",2016
1480,Jonas Valanciunas, C,Toronto Raptors,"$4,660,482",2016
1481,Joel Embiid, C,Philadelphia 76ers,"$4,626,960",2016
1482,Jahlil Okafor, C,Philadelphia 76ers,"$4,582,680",2016
1483,Kyle Singler, F,Oklahoma City Thunder,"$4,500,000",2016
1484,Mike Dunleavy, SG,Chicago Bulls,"$4,500,000",2016
1485,CJ Miles, SF,Indiana Pacers,"$4,394,225",2016
1486,Alexis Ajinca, C,New Orleans Pelicans,"$4,389,607",2016
1487,Jared Dudley, SF,Washington Wizards,"$4,375,000",2016
1488,Jameer Nelson, G,Denver Nuggets,"$4,345,000",2016
1489,Mario Chalmers, G,Memphis Grizzlies,"$4,300,000",2016
1490,Jason Smith, PF,Orlando Magic,"$4,300,000",2016
1491,J.J. Barea, PG,Dallas Mavericks,"$4,290,000",2016
1492,Damian Lillard, PG,Portland Trail Blazers,"$4,236,287",2016
1493,Cody Zeller, C,Charlotte Hornets,"$4,204,200",2016
1494,Aaron Gordon, PF,Orlando Magic,"$4,171,680",2016
1495,Kristaps Porzingis, PF,New York Knicks,"$4,131,720",2016
1496,Vince Carter, SF,Memphis Grizzlies,"$4,088,019",2016
1497,Devin Harris, PG,Dallas Mavericks,"$4,053,446",2016
1498,Lavoy Allen, F,Indiana Pacers,"$4,050,000",2016
1499,Jordan Hill, C,Indiana Pacers,"$4,000,000",2016
1500,Ian Mahinmi, C,Indiana Pacers,"$4,000,000",2016
1501,Alan Anderson, SG,Washington Wizards,"$4,000,000",2016
1502,Raymond Felton, PG,Dallas Mavericks,"$3,950,313",2016
1503,Nemanja Bjelica, PF,Minnesota Timberwolves,"$3,950,001",2016
1504,Harrison Barnes, SF,Golden State Warriors,"$3,873,398",2016
1505,Marreese Speights, F,Golden State Warriors,"$3,815,000",2016
1506,Alex Len, C,Phoenix Suns,"$3,807,120",2016
1507,Dante Exum, PG,Utah Jazz,"$3,777,720",2016
1508,Nick Collison, F,Oklahoma City Thunder,"$3,750,000",2016
1509,Kyle O'Quinn, C,New York Knicks,"$3,750,000",2016
1510,Mario Hezonja, SF,Orlando Magic,"$3,741,480",2016
1511,Patty Mills, PG,San Antonio Spurs,"$3,578,947",2016
1512,Terrence Ross, SG,Toronto Raptors,"$3,553,917",2016
1513,Matt Barnes, SF,Memphis Grizzlies,"$3,542,500",2016
1514,Will Barton, SG,Denver Nuggets,"$3,533,333",2016
1515,Nerlens Noel, PF,Philadelphia 76ers,"$3,457,800",2016
1516,Marcus Smart, PG,Boston Celtics,"$3,431,040",2016
1517,Evan Turner, SG,Boston Celtics,"$3,425,510",2016
1518,Bojan Bogdanovic, SF,Brooklyn Nets,"$3,425,510",2016
1519,Willie Cauley-Stein, C,Sacramento Kings,"$3,398,280",2016
1520,Quincy Pondexter, SF,San Antonio Spurs,"$3,382,023",2016
1521,Paul Pierce, SF,LA Clippers,"$3,376,000",2016
1522,Anthony Morrow, SG,Oklahoma City Thunder,"$3,344,000",2016
1523,Mike Scott, PF,Atlanta Hawks,"$3,333,333",2016
1524,Drew Gooden, PF,Washington Wizards,"$3,300,000",2016
1525,Andre Drummond, C,Detroit Pistons,"$3,272,091",2016
1526,KJ McDaniels, F,Houston Rockets,"$3,189,794",2016
1527,Ben McLemore, G,Sacramento Kings,"$3,156,600",2016
1528,Randy Foye, SG,Oklahoma City Thunder,"$3,135,000",2016
1529,Julius Randle, C,Los Angeles Lakers,"$3,132,240",2016
1530,Austin Rivers, PG,LA Clippers,"$3,110,796",2016
1531,Emmanuel Mudiay, PG,Denver Nuggets,"$3,102,240",2016
1532,Meyers Leonard, PF,Portland Trail Blazers,"$3,075,880",2016
1533,Norris Cole, PG,New Orleans Pelicans,"$3,036,927",2016
1534,Jeremy Lamb, SG,Charlotte Hornets,"$3,034,356",2016
1535,Anthony Tolliver, PF,Detroit Pistons,"$3,000,000",2016
1536,Jerryd Bayless, PG,Milwaukee Bucks,"$3,000,000",2016
1537,D.J. Augustin, PG,Oklahoma City Thunder,"$3,000,000",2016
1538,Brandon Bass, PF,Los Angeles Lakers,"$3,000,000",2016
1539,John Henson, F,Milwaukee Bucks,"$2,943,221",2016
1540,Tibor Pleiss, C,Utah Jazz,"$2,900,000",2016
1541,Luis Scola, F,Toronto Raptors,"$2,900,000",2016
1542,Maurice Harkless, SF,Portland Trail Blazers,"$2,894,059",2016
1543,Kentavious Caldwell-Pope, SG,Detroit Pistons,"$2,891,760",2016
1544,Nik Stauskas, SG,Philadelphia 76ers,"$2,869,440",2016
1545,Brian Roberts, PG,Charlotte Hornets,"$2,854,940",2016
1546,Udonis Haslem, PF,Miami Heat,"$2,854,940",2016
1547,Kirk Hinrich, SG,Chicago Bulls,"$2,854,940",2016
1548,Dante Cunningham, SF,New Orleans Pelicans,"$2,850,000",2016
1549,Stanley Johnson, SF,Detroit Pistons,"$2,841,960",2016
1550,Furkan Aldemir, PF,Philadelphia 76ers,"$2,836,768",2016
1551,Omri Casspi, F,Sacramento Kings,"$2,836,186",2016
1552,Sonny Weems, SG,Phoenix Suns,"$2,814,000",2016
1553,Bismack Biyombo, C,Toronto Raptors,"$2,814,000",2016
1554,Manu Ginobili, G,San Antonio Spurs,"$2,814,000",2016
1555,Kevin Seraphin, C,New York Knicks,"$2,814,000",2016
1556,Luke Ridnour, PG,Toronto Raptors,"$2,750,000",2016
1557,Trey Burke, PG,Utah Jazz,"$2,658,240",2016
1558,Noah Vonleh, PF,Portland Trail Blazers,"$2,637,720",2016
1559,Tyler Zeller, C,Boston Celtics,"$2,616,975",2016
1560,Frank Kaminsky, PF,Charlotte Hornets,"$2,612,520",2016
1561,Jared Sullinger, C,Boston Celtics,"$2,569,260",2016
1562,CJ McCollum, SG,Portland Trail Blazers,"$2,525,160",2016
1563,Elfrid Payton, PG,Orlando Magic,"$2,505,720",2016
1564,Joel Anthony, PF,Detroit Pistons,"$2,500,000",2016
1565,Leandro Barbosa, G,Golden State Warriors,"$2,500,000",2016
1566,James Johnson, PF,Toronto Raptors,"$2,500,000",2016
1567,Terrence Jones, PF,Houston Rockets,"$2,489,530",2016
1568,Justise Winslow, SF,Miami Heat,"$2,481,720",2016
1569,Shelvin Mack, PG,Utah Jazz,"$2,433,333",2016
1570,Michael Carter-Williams, G,Milwaukee Bucks,"$2,399,040",2016
1571,Andrew Nicholson, PF,Orlando Magic,"$2,380,593",2016
1572,Doug McDermott, SF,Chicago Bulls,"$2,380,440",2016
1573,Myles Turner, C,Indiana Pacers,"$2,357,760",2016
1574,Evan Fournier, SG,Orlando Magic,"$2,288,205",2016
1575,Donatas Motiejunas, PF,Houston Rockets,"$2,288,205",2016
1576,Steven Adams, C,Oklahoma City Thunder,"$2,279,040",2016
1577,Aaron Brooks, G,Chicago Bulls,"$2,250,000",2016
1578,Trey Lyles, PF,Utah Jazz,"$2,239,800",2016
1579,Ramon Sessions, G,Washington Wizards,"$2,170,465",2016
1580,Danny Granger, SF,Detroit Pistons,"$2,170,465",2016
1581,Steve Blake, PG,Detroit Pistons,"$2,170,465",2016
1582,Beno Udrih, PG,Memphis Grizzlies,"$2,170,465",2016
1583,Kelly Olynyk, PF,Boston Celtics,"$2,165,160",2016
1584,Zach LaVine, PG,Minnesota Timberwolves,"$2,148,360",2016
1585,Kendall Marshall, PG,Philadelphia 76ers,"$2,144,772",2016
1586,Jeremy Lin, PG,Charlotte Hornets,"$2,139,000",2016
1587,Gary Neal, PG,Washington Wizards,"$2,139,000",2016
1588,Devin Booker, SG,Phoenix Suns,"$2,127,840",2016
1589,Miles Plumlee, C,Milwaukee Bucks,"$2,109,294",2016
1590,Mo Williams, PG,Cleveland Cavaliers,"$2,100,000",2016
1591,David Lee, PF,Dallas Mavericks,"$2,085,671",2016
1592,Shabazz Muhammad, F,Minnesota Timberwolves,"$2,056,920",2016
1593,Joe Ingles, SF,Utah Jazz,"$2,050,000",2016
1594,T.J. Warren, SF,Phoenix Suns,"$2,041,080",2016
1595,Perry Jones, SF,New Orleans Pelicans,"$2,038,206",2016
1596,Cameron Payne, G,Oklahoma City Thunder,"$2,021,520",2016
1597,Festus Ezeli, C,Golden State Warriors,"$2,008,748",2016
1598,DeJuan Blair, C,Washington Wizards,"$2,000,000",2016
1599,Kent Bazemore, SG,Atlanta Hawks,"$2,000,000",2016
1600,Giannis Antetokounmpo, PF,Milwaukee Bucks,"$1,953,960",2016
1601,Adreian Payne, PF,Minnesota Timberwolves,"$1,938,840",2016
1602,Kelly Oubre Jr., SF,Washington Wizards,"$1,920,240",2016
1603,Lucas Nogueira, C,Toronto Raptors,"$1,842,000",2016
1604,Jusuf Nurkic, C,Denver Nuggets,"$1,842,000",2016
1605,Terry Rozier, PG,Boston Celtics,"$1,824,360",2016
1606,Dennis Schroder, PG,Atlanta Hawks,"$1,763,400",2016
1607,James Young, G,Boston Celtics,"$1,749,840",2016
1608,Rashad Vaughn, G,Milwaukee Bucks,"$1,733,040",2016
1609,Ryan Kelly, PF,Los Angeles Lakers,"$1,724,250",2016
1610,Joffrey Lauvergne, F,Denver Nuggets,"$1,709,719",2016
1611,Zoran Dragic, SG,Boston Celtics,"$1,706,225",2016
1612,Tyler Ennis, G,Milwaukee Bucks,"$1,662,360",2016
1613,Sam Dekker, SF,Houston Rockets,"$1,646,400",2016
1614,Lance Thomas, SF,New York Knicks,"$1,636,842",2016
1615,Lou Amundson, PF,New York Knicks,"$1,635,476",2016
1616,Sergey Karasev, SG,Brooklyn Nets,"$1,599,840",2016
1617,Gary Harris, SG,Denver Nuggets,"$1,584,480",2016
1618,Jerian Grant, PG,New York Knicks,"$1,572,360",2016
1619,Tony Snell, SG,Chicago Bulls,"$1,535,880",2016
1620,Bruno Caboclo, SF,Toronto Raptors,"$1,524,000",2016
1621,Delon Wright, PG,Toronto Raptors,"$1,509,360",2016
1622,Wayne Ellington, SG,Brooklyn Nets,"$1,500,000",2016
1623,Shane Larkin, G,Brooklyn Nets,"$1,500,000",2016
1624,David West, F,San Antonio Spurs,"$1,499,187",2016
1625,Gorgui Dieng, C,Minnesota Timberwolves,"$1,474,440",2016
1626,Mitch McGary, PF,Oklahoma City Thunder,"$1,463,040",2016
1627,Caron Butler, SF,Sacramento Kings,"$1,449,187",2016
1628,Justin Anderson, SG,Dallas Mavericks,"$1,449,000",2016
1629,Mason Plumlee, PF,Portland Trail Blazers,"$1,415,520",2016
1630,Jordan Adams, SG,Memphis Grizzlies,"$1,404,600",2016
1631,Bobby Portis, PF,Chicago Bulls,"$1,391,160",2016
1632,Andrea Bargnani, C,Brooklyn Nets,"$1,362,897",2016
1633,Solomon Hill, SF,Indiana Pacers,"$1,358,880",2016
1634,Rodney Hood, SG,Utah Jazz,"$1,348,440",2016
1635,Rondae Hollis-Jefferson, SF,Brooklyn Nets,"$1,335,480",2016
1636,Alonzo Gee, SF,New Orleans Pelicans,"$1,320,000",2016
1637,Tim Hardaway Jr., G,Atlanta Hawks,"$1,304,520",2016
1638,Nikola Jokic, C,Denver Nuggets,"$1,300,000",2016
1639,Shabazz Napier, PG,Orlando Magic,"$1,294,440",2016
1640,Tyus Jones, PG,Minnesota Timberwolves,"$1,282,080",2016
1641,Sasha Kaun, C,Cleveland Cavaliers,"$1,276,000",2016
1642,Brandon Rush, SG,Golden State Warriors,"$1,270,964",2016
1643,Cartier Martin, PF,Detroit Pistons,"$1,270,964",2016
1644,Reggie Bullock, SG,Detroit Pistons,"$1,252,440",2016
1645,Clint Capela, C,Houston Rockets,"$1,242,720",2016
1646,Jarell Martin, PF,Memphis Grizzlies,"$1,230,840",2016
1647,Andre Roberson, SG,Oklahoma City Thunder,"$1,210,800",2016
1648,P.J. Hairston, SF,Charlotte Hornets,"$1,201,440",2016
1649,Boban Marjanovic, C,San Antonio Spurs,"$1,200,000",2016
1650,Earl Clark, SF,Brooklyn Nets,"$1,185,784",2016
1651,Reggie Williams, SF,New Orleans Pelicans,"$1,185,784",2016
1652,Rudy Gobert, C,Utah Jazz,"$1,175,880",2016
1653,Jordan Mickey, F,Boston Celtics,"$1,170,960",2016
1654,Toney Douglas, PG,New Orleans Pelicans,"$1,164,858",2016
1655,Archie Goodwin, SG,Phoenix Suns,"$1,160,160",2016
1656,CJ Wilcox, G,LA Clippers,"$1,159,680",2016
1657,Larry Nance Jr., PF,Los Angeles Lakers,"$1,155,600",2016
1658,Chris Copeland, SF,Milwaukee Bucks,"$1,150,000",2016
1659,Damjan Rudez, SF,Minnesota Timberwolves,"$1,149,500",2016
1660,RJ Hunter, SG,Boston Celtics,"$1,148,640",2016
1661,Matthew Dellavedova, PG,Cleveland Cavaliers,"$1,147,276",2016
1662,Kyle Anderson, SF,San Antonio Spurs,"$1,142,880",2016
1663,Josh Huestis, F,Oklahoma City Thunder,"$1,140,240",2016
1664,Chris McCullough, F,Brooklyn Nets,"$1,140,240",2016
1665,Kevon Looney, C,Golden State Warriors,"$1,131,960",2016
1666,Wesley Johnson, SF,LA Clippers,"$1,100,602",2016
1667,Luke Babbitt, F,New Orleans Pelicans,"$1,100,602",2016
1668,Henry Walker, SF,Miami Heat,"$1,100,602",2016
1669,Jeremy Evans, F,Dallas Mavericks,"$1,100,602",2016
1670,Cole Aldrich, C,LA Clippers,"$1,100,602",2016
1671,Glenn Robinson III, SG,Indiana Pacers,"$1,100,000",2016
1672,Richaun Holmes, PF,Philadelphia 76ers,"$1,074,169",2016
1673,Jon Leuer, PF,Phoenix Suns,"$1,035,000",2016
1674,Lester Hudson, SG,LA Clippers,"$1,015,421",2016
1675,James Anderson, SG,Sacramento Kings,"$1,015,421",2016
1676,Jordan Hamilton, SG,New Orleans Pelicans,"$1,015,421",2016
1677,Rakeem Christmas, PF,Indiana Pacers,"$1,007,026",2016
1678,Joe Young, G,Indiana Pacers,"$1,007,026",2016
1679,Robert Covington, SF,Philadelphia 76ers,"$1,000,000",2016
1680,Kris Humphries, PF,Washington Wizards,"$1,000,000",2016
1681,Montrezl Harrell, PF,Houston Rockets,"$1,000,000",2016
1682,Edy Tavares, C,Atlanta Hawks,"$1,000,000",2016
1683,Quincy Acy, F,Sacramento Kings,"$981,348",2016
1684,Jerel McNeal, SG,Phoenix Suns,"$981,348",2016
1685,Hassan Whiteside, C,Miami Heat,"$981,348",2016
1686,John Jenkins, SG,Phoenix Suns,"$981,348",2016
1687,Chris Johnson, SG,Utah Jazz,"$981,348",2016
1688,Thomas Robinson, F,Brooklyn Nets,"$981,348",2016
1689,Pablo Prigioni, PG,LA Clippers,"$947,726",2016
1690,Tayshaun Prince, SF,Minnesota Timberwolves,"$947,276",2016
1691,Anthony Bennett, PF,Toronto Raptors,"$947,276",2016
1692,Troy Daniels, SG,Charlotte Hornets,"$947,276",2016
1693,Ronnie Price, PG,Phoenix Suns,"$947,276",2016
1694,Tyler Hansbrough, PF,Charlotte Hornets,"$947,276",2016
1695,Matt Bonner, C,San Antonio Spurs,"$947,276",2016
1696,Henry Sims, C,Brooklyn Nets,"$947,276",2016
1697,Justin Holiday, SF,Chicago Bulls,"$947,276",2016
1698,Jeff Withey, C,Utah Jazz,"$947,276",2016
1699,Jason Richardson, SG,Atlanta Hawks,"$947,276",2016
1700,Raul Neto, PG,Utah Jazz,"$900,000",2016
1701,Jimmer Fredette, G,New York Knicks,"$874,837",2016
1702,Damien Inglis, SF,Milwaukee Bucks,"$855,000",2016
1703,Tyler Johnson, SG,Miami Heat,"$845,059",2016
1704,Terrico White, G,Perth Perth,"$845,059",2016
1705,Eric Moreland, C,Sacramento Kings,"$845,059",2016
1706,Elijah Millsap, SG,Utah Jazz,"$845,059",2016
1707,James Ennis III, SF,Memphis Grizzlies,"$845,059",2016
1708,James Michael McAdoo, SF,Golden State Warriors,"$845,059",2016
1709,Langston Galloway, SG,New York Knicks,"$845,059",2016
1710,Johnny O'Bryant III, PF,Milwaukee Bucks,"$845,059",2016
1711,Nick Johnson, G,San Antonio Spurs,"$845,059",2016
1712,Russ Smith, PG,Memphis Grizzlies,"$845,059",2016
1713,Jarnell Stokes, C,Memphis Grizzlies,"$845,059",2016
1714,Jack Cooley, F,Sacramento Kings,"$845,059",2016
1715,Tim Frazier, PG,Portland Trail Blazers,"$845,059",2016
1716,Kostas Papanikolaou, SF,Denver Nuggets,"$800,321",2016
1717,Bryce Cotton, G,Memphis Grizzlies,"$700,902",2016
1718,Anthony Brown, F,Los Angeles Lakers,"$700,000",2016
1719,Norman Powell, SF,Toronto Raptors,"$650,000",2016
1720,Pat Connaughton, SG,Portland Trail Blazers,"$625,093",2016
1721,Darrun Hilliard, G,Detroit Pistons,"$600,000",2016
1722,Jarell Eddie, F,Washington Wizards,"$561,716",2016
1723,Kyle Casey, SF,Phoenix Suns,"$525,093",2016
1724,Deonte Burton, PG,Phoenix Suns,"$525,093",2016
1725,Christian Wood, PF,Philadelphia 76ers,"$525,093",2016
1726,Scottie Wilbekin, PG,Philadelphia 76ers,"$525,093",2016
1727,Jonathon Simmons, SF,San Antonio Spurs,"$525,093",2016
1728,T.J. McConnell, PG,Philadelphia 76ers,"$525,093",2016
1729,Josh Richardson, SG,Miami Heat,"$525,093",2016
1730,Corey Hawkins, PG,Miami Heat,"$525,093",2016
1731,Melvin Ejim, SF,Orlando Magic,"$525,093",2016
1732,Ronald Roberts Jr., PF,Toronto Raptors,"$525,093",2016
1733,Jarrid Famous, PF,Memphis Grizzlies,"$525,093",2016
1734,Duje Dukan, PF,Sacramento Kings,"$525,093",2016
1735,Cristiano Felicio, PF,Chicago Bulls,"$525,093",2016
1736,Jonathan Holmes, PF,Boston Celtics,"$525,093",2016
1737,Lamar Patterson, SG,Atlanta Hawks,"$525,093",2016
1738,Michael Beasley, F,Houston Rockets,"$306,527",2016
1739,Steve Novak, SF,Oklahoma City Thunder,"$295,327",2016
1740,Anderson Varejao, C,Golden State Warriors,"$289,755",2016
1741,JJ Hickson, C,Washington Wizards,"$273,038",2016
1742,Joe Johnson, G,Brooklyn Nets,"$261,894",2016
1743,JaKarr Sampson, F,Philadelphia 76ers,"$258,489",2016
1744,Andre Miller, PG,San Antonio Spurs,"$250,750",2016
1745,Jason Thompson, PF,Toronto Raptors,"$245,177",2016
1746,Ryan Hollins, C,Memphis Grizzlies,"$239,605",2016
1747,Nazr Mohammed, C,Oklahoma City Thunder,"$222,888",2016
1748,Ty Lawson, G,Indiana Pacers,"$211,744",2016
1749,Chase Budinger, SF,Phoenix Suns,"$206,192",2016
1750,Marcus Thornton, SG,Washington Wizards,"$200,600",2016
1751,Kevin Martin, SG,San Antonio Spurs,"$200,600",2016
1752,Andrew Goudelock, PG,Houston Rockets,"$200,600",2016
1753,Jorge Gutierrez, PG,Charlotte Hornets,"$189,455",2016
1754,Bryce Dejean-Jones, SG,New Orleans Pelicans,"$169,883",2016
1755,Tony Wroten, SG,Philadelphia 76ers,"$167,406",2016
1756,Sean Kilpatrick, G,Brooklyn Nets,"$134,215",2016
1757,Lorenzo Brown, G,Phoenix Suns,"$111,444",2016
1758,Jeff Ayres, F,LA Clippers,"$111,444",2016
1759,Jordan McRae, SG,Phoenix Suns,"$111,196",2016
1760,Erick Green, PG,Utah Jazz,"$99,418",2016
1761,Alan Williams, PF,Phoenix Suns,"$83,397",2016
1762,Keith Appling, PG,Orlando Magic,"$61,776",2016
1763,Orlando Johnson, SG,Phoenix Suns,"$55,722",2016
1764,Phil Pressey, PG,Phoenix Suns,"$55,722",2016
1765,Elliot Williams, SG,Memphis Grizzlies,"$55,722",2016
1766,Cory Jefferson, F,Phoenix Suns,"$49,709",2016
1767,Thanasis Antetokounmpo, SF,New York Knicks,"$30,888",2016
1768,Kobe Bryant, SF,Los Angeles Lakers,"$23,500,000",2015
1769,Joe Johnson, G,Brooklyn Nets,"$23,180,790",2015
1770,Carmelo Anthony, F,New York Knicks,"$22,458,401",2015
1771,Dwight Howard, C,Houston Rockets,"$21,436,271",2015
1772,Chris Bosh, PF,Miami Heat,"$20,644,400",2015
1773,LeBron James, SF,Cleveland Cavaliers,"$20,644,400",2015
1774,Chris Paul, PG,LA Clippers,"$20,068,563",2015
1775,Deron Williams, PG,Brooklyn Nets,"$19,754,465",2015
1776,Rudy Gay, SF,Sacramento Kings,"$19,317,326",2015
1777,Kevin Durant, SF,Oklahoma City Thunder,"$18,995,624",2015
1778,Derrick Rose, PG,Chicago Bulls,"$18,862,876",2015
1779,Blake Griffin, PF,LA Clippers,"$17,674,613",2015
1780,Zach Randolph, F,Memphis Grizzlies,"$16,500,000",2015
1781,LaMarcus Aldridge, C,Portland Trail Blazers,"$16,006,000",2015
1782,Paul George, SF,Indiana Pacers,"$15,937,290",2015
1783,Marc Gasol, C,Memphis Grizzlies,"$15,829,688",2015
1784,Kevin Love, PF,Cleveland Cavaliers,"$15,719,063",2015
1785,Russell Westbrook, PG,Oklahoma City Thunder,"$15,719,062",2015
1786,Brook Lopez, C,Brooklyn Nets,"$15,719,062",2015
1787,David Lee, PF,Golden State Warriors,"$15,012,000",2015
1788,Dwyane Wade, SG,Miami Heat,"$15,000,000",2015
1789,Eric Gordon, SG,New Orleans Pelicans,"$14,898,938",2015
1790,Roy Hibbert, C,Indiana Pacers,"$14,898,938",2015
1791,Tyson Chandler, C,Dallas Mavericks,"$14,846,888",2015
1792,John Wall, PG,Washington Wizards,"$14,746,000",2015
1793,Gordon Hayward, SF,Utah Jazz,"$14,746,000",2015
1794,James Harden, PG,Houston Rockets,"$14,728,844",2015
1795,Chandler Parsons, SF,Dallas Mavericks,"$14,700,000",2015
1796,Al Jefferson, C,Charlotte Hornets,"$13,500,000",2015
1797,Eric Bledsoe, PG,Phoenix Suns,"$13,000,000",2015
1798,Nene Hilario, C,Washington Wizards,"$13,000,000",2015
1799,Andrew Bogut, C,Golden State Warriors,"$12,972,973",2015
1800,Derrick Favors, PF,Utah Jazz,"$12,950,000",2015
1801,Rajon Rondo, PG,Dallas Mavericks,"$12,909,090",2015
1802,Joakim Noah, C,Chicago Bulls,"$12,700,000",2015
1803,Tony Parker, PG,San Antonio Spurs,"$12,500,000",2015
1804,Serge Ibaka, C,Oklahoma City Thunder,"$12,350,000",2015
1805,Andre Iguodala, SG,Golden State Warriors,"$12,289,544",2015
1806,Nikola Pekovic, C,Minnesota Timberwolves,"$12,100,000",2015
1807,David West, F,Indiana Pacers,"$12,000,000",2015
1808,Kyle Lowry, PG,Toronto Raptors,"$12,000,000",2015
1809,Al Horford, C,Atlanta Hawks,"$12,000,000",2015
1810,Nicolas Batum, SF,Portland Trail Blazers,"$11,765,500",2015
1811,Ty Lawson, G,Denver Nuggets,"$11,595,506",2015
1812,Andrea Bargnani, C,New York Knicks,"$11,500,000",2015
1813,DeAndre Jordan, C,LA Clippers,"$11,440,123",2015
1814,Tyreke Evans, SG,New Orleans Pelicans,"$11,265,416",2015
1815,JaVale McGee, C,Philadelphia 76ers,"$11,250,000",2015
1816,Larry Sanders, PF,Milwaukee Bucks,"$11,000,000",2015
1817,Danilo Gallinari, SF,Denver Nuggets,"$10,854,850",2015
1818,Stephen Curry, PG,Golden State Warriors,"$10,629,213",2015
1819,Marcin Gortat, C,Washington Wizards,"$10,434,782",2015
1820,Tim Duncan, C,San Antonio Spurs,"$10,361,446",2015
1821,Gerald Wallace, SF,Boston Celtics,"$10,105,855",2015
1822,DeMar DeRozan, SG,Toronto Raptors,"$10,100,000",2015
1823,Jrue Holiday, PG,New Orleans Pelicans,"$9,904,495",2015
1824,Luol Deng, SF,Miami Heat,"$9,714,461",2015
1825,Anderson Varejao, C,Cleveland Cavaliers,"$9,704,545",2015
1826,Steve Nash, PG,Los Angeles Lakers,"$9,701,000",2015
1827,Paul Millsap, PF,Atlanta Hawks,"$9,500,000",2015
1828,Thaddeus Young, PF,Brooklyn Nets,"$9,410,869",2015
1829,Tiago Splitter, C,San Antonio Spurs,"$9,250,000",2015
